user_id,video_id,timestamp,is_click
0,0,1685336204570.0,0
0,1,1685336204570.0,1
0,2,1685336204570.0,0
0,3,1685336306019.0,1
0,4,1685338123792.0,1
0,5,1685338579019.0,1
0,6,1685338664549.0,0
0,7,1685419753809.0,1
0,8,1685420355486.0,0
0,9,1685489628680.0,1
0,10,1685511235703.0,1
0,11,1685511235703.0,1
0,12,1685511277833.0,0
1,13,1685011958842.0,0
1,14,1685011958842.0,0
1,15,1685012429018.0,1
1,16,1685012605123.0,0
1,17,1685012605123.0,0
1,18,1685012605123.0,0
1,19,1685012850729.0,0
1,20,1685012891434.0,1
1,21,1685012932982.0,0
1,22,1685074325840.0,1
1,23,1685074325840.0,0
1,24,1685074479909.0,1
1,25,1685074776313.0,1
1,26,1685074776313.0,0
1,27,1685075000424.0,0
1,28,1685075130990.0,0
1,29,1685075130990.0,0
1,30,1685075322867.0,1
1,31,1685075480427.0,0
1,32,1685076223304.0,1
1,33,1685106130628.0,0
1,34,1685106142575.0,0
1,35,1685163925721.0,1
1,36,1685163925721.0,1
1,37,1685163925721.0,1
1,38,1685164377516.0,0
2,39,1684743124145.0,0
2,40,1684743273303.0,1
2,41,1684746715830.0,0
2,42,1684746773389.0,1
2,43,1684750052957.0,1
2,44,1684750073833.0,1
2,45,1684750073833.0,1
2,46,1684762270863.0,1
2,47,1684764211311.0,1
2,48,1684764287559.0,0
2,49,1684764403631.0,1
2,50,1684764403631.0,1
2,51,1684764578654.0,1
2,52,1684764578654.0,1
2,53,1684764800320.0,1
2,54,1684766150356.0,1
2,55,1684798033738.0,0
2,56,1684800797630.0,0
2,57,1684818769833.0,1
2,58,1684818871453.0,1
2,59,1684818871453.0,1
2,60,1684819493954.0,1
2,61,1684819493954.0,1
2,62,1684831901151.0,1
2,63,1684838215491.0,1
2,64,1684848002880.0,0
2,65,1684848002880.0,0
2,66,1684849138926.0,1
2,67,1684849138926.0,1
2,68,1684849140527.0,1
2,69,1684849628638.0,0
2,70,1684849716462.0,0
2,71,1684849818587.0,1
2,72,1684851070466.0,1
2,73,1684883783287.0,1
2,74,1684883783287.0,1
2,75,1684883882444.0,1
2,76,1684884198249.0,1
2,77,1684902972898.0,1
2,78,1684903250858.0,1
2,79,1684903250858.0,1
2,80,1685269218390.0,1
2,81,1685269304064.0,1
2,82,1685269432876.0,0
2,83,1685269795149.0,0
2,1,1685269867783.0,1
2,84,1685270159521.0,1
2,85,1685270478285.0,1
2,86,1685270773616.0,1
2,87,1685270960885.0,1
2,88,1685271078260.0,1
2,89,1685271229692.0,1
2,90,1685271402083.0,1
2,91,1685334706799.0,1
2,92,1685334706799.0,1
2,93,1685367043023.0,1
2,77,1685375125943.0,1
2,94,1685375878022.0,0
2,95,1685376844041.0,0
2,96,1685376844041.0,1
2,97,1685376844041.0,1
2,98,1685377236149.0,1
2,99,1685404214486.0,1
2,100,1685421500941.0,1
2,101,1685421633600.0,1
2,102,1685421927159.0,1
2,103,1685421927159.0,0
2,104,1685422085217.0,1
2,105,1685422209582.0,1
2,106,1685422559343.0,1
2,107,1685422877807.0,1
2,108,1685422877807.0,1
2,109,1685423293088.0,1
2,110,1685423555658.0,1
2,111,1685423746019.0,1
2,112,1685423746019.0,1
2,113,1685424393711.0,1
2,114,1685424393711.0,1
2,115,1685424598528.0,1
2,116,1685425139780.0,1
2,117,1685425299638.0,1
2,118,1685425389466.0,1
2,119,1685439832278.0,1
2,120,1685445677643.0,1
3,121,1684772013619.0,0
3,122,1684772223181.0,1
3,123,1684773420345.0,0
3,124,1685201988312.0,1
3,125,1685201988312.0,1
3,126,1685202150636.0,1
3,127,1685202150636.0,1
3,128,1685202389278.0,1
3,129,1685202389278.0,1
3,130,1685203165818.0,1
3,131,1685203713421.0,0
4,132,1684757608048.0,1
4,133,1684757687998.0,1
4,134,1684760085331.0,1
4,135,1684760315258.0,1
4,136,1684760494641.0,0
4,137,1684839284197.0,0
4,138,1684839284197.0,1
4,139,1684843261952.0,0
4,140,1684988740720.0,1
4,141,1684995001478.0,0
4,142,1685006090097.0,1
4,143,1685006495481.0,1
4,144,1685006495481.0,1
4,145,1685007096426.0,0
4,146,1685007096426.0,1
4,147,1685007251710.0,1
4,148,1685007495274.0,1
4,149,1685007495274.0,1
4,150,1685008029229.0,1
4,151,1685008840667.0,0
4,152,1685009229190.0,0
4,153,1685016365467.0,0
4,154,1685016494855.0,0
4,155,1685061701282.0,1
4,156,1685062182349.0,0
4,157,1685062182349.0,1
4,158,1685062182349.0,1
4,159,1685062244861.0,0
4,160,1685062371238.0,1
4,161,1685062463660.0,0
4,162,1685062463660.0,1
4,163,1685062463660.0,1
4,164,1685062545581.0,1
4,165,1685062545581.0,0
4,166,1685062781452.0,1
4,167,1685062916597.0,0
4,168,1685063087362.0,1
4,169,1685063155416.0,1
4,170,1685063155416.0,1
4,171,1685063345705.0,1
4,172,1685063698397.0,1
4,173,1685064039655.0,1
4,174,1685064237251.0,1
4,175,1685064421127.0,0
4,176,1685064613153.0,1
